"id","name","name_eng","category","category_specific","volume","alcohol","price","brand","nation","bottled","name_eng-2","region","region_detail","distillery","importer","external_image_url","image_url","full_image_url"
40301153,"자노 아르마냑 XO","Janneau Armagnac XO","브랜디","아르마냑",700,"40",184000,"Janneau Armagnac","프랑스",NULL,"Janneau Armagnac XO","아르마냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/839fea98-72e6-4062-936b-e793357f3a10.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301153_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301153.png"
40301154,"장 퓨 14 앙다주","Jean Fillioux 14 ANS D'AGE","브랜디","꼬냑",500,"42.5",184000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux 14 ANS D'AGE","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/b64448d0-3a72-4543-89c3-5d75d4070a42.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301154_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301154.png"
40301155,"장 퓨 16 앙다주","Jean Fillioux 16 ANS D'AGE","브랜디","꼬냑",500,"42",214000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux 16 ANS D'AGE","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/b3224865-d0c9-4271-8bc5-900106a530be.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301155_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301155.png"
40301156,"장 퓨 라 뿌이드","Jean Fillioux La Pouyade","브랜디","꼬냑",700,"42",126500,"Jean Fillioux","프랑스",NULL,"Jean Fillioux La Pouyade","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/b216942c-d7f0-4d82-af47-ba8b75261664.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301156_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301156.png"
40301157,"장 퓨 No.1","Jean Fillioux No.1","브랜디","꼬냑",500,"46",470000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux No.1","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/04423f82-7e55-4716-9dd4-caab52d1fabe.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301157_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301157.png"
40301158,"장 퓨 소 엘레강티심 XO","Jean Fillioux So Elegantissime XO","브랜디","꼬냑",700,"40",354000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux So Elegantissime XO","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/4d1caf46-58f8-4ec0-aa27-84054affa762.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301158_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301158.png"
40301159,"장 퓨 트레뷰","Jean Fillioux Tres Vieux","브랜디","꼬냑",700,"40",249000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux Tres Vieux","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/63e75b3b-0f82-4e96-b0e0-93873abe4f4c.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301159_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301159.png"
40301160,"장 퓨 VSOP 섭틸 앤 쏘","Jean Fillioux VSOP Subtil & So","브랜디","꼬냑",700,"40",144000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux VSOP Subtil & So","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/072fabb2-c409-4a41-84f3-0a0c26bf2724.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301160_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301160.png"
40301161,"장 퓨 XO 그랑 리저브","Jean Fillioux XO Grande Réserve","브랜디","꼬냑",700,"44",290000,"Jean Fillioux","프랑스",NULL,"Jean Fillioux XO Grande Réserve","꼬냑","그랑 샹파뉴","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/9e1ac02b-4bf3-4282-ad03-609cfca0296c.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/40301161_ds2.png","https://cdn.whisket.co.kr/public/whiskies/40301161.png"
40301173,"마르텔 XO","Martell Xo","브랜디","꼬냑",700,"40",275000,"Martell","프랑스",NULL,"Martell Xo","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/b6687455-84f3-4ce8-91e9-cb1eeeba9b0c.webp",NULL,NULL
30200931,"켄터키 아울 스트레이트 버번 배치 11","Kentucky Owl Straight Bourbon Batch 11","버번","버번 위스키",750,"59.4",699000,"Kentucky Owl","미국",NULL,"Kentucky Owl Straight Bourbon Batch 11","켄터키","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/6cf72948-fc2c-46ea-a26b-bfeec234bdfb.webp","https://cdn.whisket.co.kr/public/whiskies_dsh/30200931_ds2.png","https://cdn.whisket.co.kr/public/whiskies/30200931.png"
40301163,"라 파예뜨 VS","La Fayette VS","브랜디","꼬냑",700,"40",53000,"La Fayette","프랑스",NULL,"La Fayette VS","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9bad4144-c65f-46cc-a89d-3564f3e4a6d1.webp",NULL,NULL
40301164,"랑디 XO","Landy XO","브랜디","꼬냑",700,"40",260000,"Landy","프랑스",NULL,"Landy XO","꼬냑","","",NULL,"https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/5ba818a2-4159-447f-8359-d5ec95e163fc.webp",NULL,NULL
