id,name,name_eng,volume,alcohol,price,brand,nation,bottled,region,region_detail,distillery,importer,local_full_path,eng_category
52400743,스터닝 엘 클라시코 라이,Stauning El Clásico Rye,700,45.7,151900,Stauning,덴마크,,,,Stauning,,photos/52400743_1.webp,Rye
52400744,스터닝 라이,Stauning Rye,700,48.0,167500,Stauning,덴마크,,,,Stauning,,photos/52400744_1.webp,Rye
22401215,스터닝 카오스 트리플,Stauning Kaos Triple,700,46.0,159900,Stauning,덴마크,,,,Stauning,,photos/22401215_1.webp,Blended
12401742,스터닝 스모크,Stauning Smoke,700,47.0,109000,Stauning,덴마크,,,,Stauning,,photos/12401742_1.webp,Single Malt
60500472,틸링 싱글 그레인 아이리시 위스키,Teeling Single Grain Irish Whiskey,700,46.0,44900,Teeling,아일랜드,,,,Teeling,,photos/60500472_1.webp,Other
60500473,틸링 싱글 팟 스틸 아이리시 위스키,Teeling Single Pot Still Irish Whiskey,700,46.0,54000,Teeling,아일랜드,,,,Teeling,,photos/60500473_1.webp,Other
20501589,틸링 스몰 배치 아이리시 위스키,Teeling Small Batch Irish Whiskey,700,46.0,40000,Teeling,아일랜드,,,,Teeling,,photos/20501589_1.webp,Blended
20501590,틸링 스몰 배치 아이리시 위스키 플랜테이션 파인애플 럼 캐스크,Teeling Small Batch Irish Whiskey Plantation Pineapple Rum Cask,700,49.2,99000,Teeling,아일랜드,,,,Teeling,,photos/20501590_1.webp,Blended
10502827,틸링 블랙핏츠,Teeling Blackpitts,700,46.0,44900,Teeling,아일랜드,,,,Teeling,,photos/10502827_1.webp,Single Malt
10502828,틸링 블랙핏츠 빅 스모크 CS,Teeling Blackpitts Big Smoke CS,700,56.5,79000,Teeling,아일랜드,,,,Teeling,,photos/10502828_1.webp,Single Malt
10502829,틸링 싱글몰트 30년,Teeling Sinlge Malt 30yo,700,46.0,2150000,Teeling,아일랜드,,,,Teeling,,photos/10502829_1.webp,Single Malt
10502830,틸링 싱글몰트 아이리시 위스키,Teeling Sinlge Malt Irish Whiskey,700,46.0,54900,Teeling,아일랜드,,,,Teeling,,photos/10502830_1.webp,Single Malt
10502831,틸링 원더스 오브 우드 친커핀 버진 오크,Teeling Wonders of Wood Chinkapin Virgin Oak,700,50.0,183900,Teeling,아일랜드,,,,Teeling,,photos/10502831_1.webp,Single Malt
60600130,818 데킬라 레포사도,818 Tequila Reposado,750,40.0,145000,818 Tequila,멕시코,,,,,,photos/60600130_1.webp,Other
12502867,밀크앤허니 에이펙스 사해,MILK & HONEY APEX Dead Sea,700,56.2,195000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502867_1.webp,Single Malt
12502868,밀크앤허니 에이펙스 오렌지 와인 캐스크,MILK & HONEY APEX Orange Wine Cask,700,57.0,269000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502868_1.webp,Single Malt
12502869,밀크앤허니 에이펙스 석류,MILK & HONEY APEX Pomegranate Wine Cask,700,57.2,165000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502869_1.webp,Single Malt
12502870,밀크앤허니 크리스마스 에디션,MILK & HONEY Christmas Edition,700,49.0,90000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502870_1.webp,Single Malt
12502871,밀크앤허니 클래식,MILK & HONEY Classic,700,46.0,94000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502871_1.webp,Single Malt
12502872,밀크앤허니 엘리먼츠 피티드,MILK & HONEY ELEMENTS Peated,700,46.0,89000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502872_1.webp,Single Malt
12502873,밀크앤허니 엘리먼츠 레드 와인 캐스크,MILK & HONEY ELEMENTS Red Wine Cask,700,46.0,89000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502873_1.webp,Single Malt
12502874,밀크앤허니 엘리먼츠 셰리 캐스크,MILK & HONEY ELEMENTS Sherry Cask,700,46.0,94000,MILK & HONEY,이스라엘,,,,The M&H,,photos/12502874_1.webp,Single Malt
51300818,아치로즈 라이몰트,Archie Rose Rye Malt,700,46.0,123900,Archie Rose,호주,,,,,,photos/51300818_1.webp,Rye
61000393,앱솔루트 어피치,Absolut Apeach,700,40.0,32000,Absolut,스웨덴,,,,,,photos/61000393_1.webp,Other
11302949,아치로즈 싱글몰트,Archie Rose Single Malt,700,46.0,123900,Archie Rose,호주,,,,,,photos/11302949_1.webp,Single Malt
20501600,라이터즈 티얼즈 코퍼 팟,Writer's Tears Copper Pot,700,40.0,63000,Writer's Tears,아일랜드,,,,Walsh,,photos/20501600_1.webp,Blended
20501601,라이터즈 티얼즈 더블 오크,Writer's Tears Double Oak,700,46.0,71000,Writer's Tears,아일랜드,,,,Walsh,,photos/20501601_1.webp,Blended
41701051,아스바흐 오리지널 3년,Asbach Original 3yo,700,38.0,67000,Asbach,독일,,,,,,photos/41701051_1.webp,Brandy
20501602,라이터즈 티얼즈 싱글 팟 스틸,Writer's Tears Single Pot Still,700,46.0,92000,Writer's Tears,아일랜드,,,,Walsh,,photos/20501602_1.webp,Blended
10502846,라이터즈 티얼즈 미즈나라 캐스크,Writer's Tears Mizunara Cask,700,55.0,184000,Writer's Tears,아일랜드,,,,Walsh,,photos/10502846_1.webp,Single Malt
10502847,라이터즈 티얼즈 레드 헤드,Writer's Tears Red Head,700,46.0,82000,Writer's Tears,아일랜드,,,,Walsh,,photos/10502847_1.webp,Single Malt
10302936,아모릭 셰리 캐스크,Armorik Sherry Cask,700,46.0,89900,Armorik,프랑스,,,,Warenghem,,photos/10302936_1.webp,Single Malt
10502838,워터포드 아카디안 오가닉 가이아 1.1,Waterford Arcadian Organic Gaia 1.1,700,50.0,80000,Waterford,아일랜드,,,,Waterford,,photos/10502838_1.webp,Single Malt
10502839,워터포드 바이오다이나믹 루나 1.1,Waterford Biodynamic Luna 1.1,700,50.0,89500,Waterford,아일랜드,,,,Waterford,,photos/10502839_1.webp,Single Malt
10502840,워터포드 싱글 팜 오리진 훅 헤드,Waterford Single Farm Origin Hook Head,700,50.0,80000,Waterford,아일랜드,,,,Waterford,,photos/10502840_1.webp,Single Malt
10502841,워터포드 싱글 팜 오리진 레이크 필드,Waterford Single Farm Origin Lake Field,700,50.0,80000,Waterford,아일랜드,,,,Waterford,,photos/10502841_1.webp,Single Malt
10502842,워터포드 더 뀌베,Waterford The Cuvee,700,50.0,109000,Waterford,아일랜드,,,,Waterford,,photos/10502842_1.webp,Single Malt
10502843,웨스트콕 싱글몰트 칼바도스 캐스크 피니시,West Cork Single Malt Calvados Cask Finished,700,43.0,40000,West Cork,아일랜드,,,,West Cork,,photos/10502843_1.webp,Single Malt
10502844,웨스트콕 싱글몰트 포트 캐스크 피니시,West Cork Single Malt Port Cask Finished,700,43.0,49000,West Cork,아일랜드,,,,West Cork,,photos/10502844_1.webp,Single Malt
10502845,웨스트콕 싱글몰트 셰리 캐스크 피니시,West Cork Single Malt Sherry Cask Finished,700,43.0,40000,West Cork,아일랜드,,,,West Cork,,photos/10502845_1.webp,Single Malt
10402922,야마자키 12년,Yamazaki 12yo,700,43.0,385000,Yamazaki,일본,,,,Yamazaki,,photos/10402922_1.webp,Single Malt
63700375,크루잔 에이지드 다크 럼,Cruzan Aged Dark Rum,750,40.0,29000,Cruzan,버진 아일랜드,,,,,,photos/63700375_1.webp,Other
10402923,야마자키 12년 100주년 기념 에디션,Yamazaki 12yo 100th Anniversary Edition,700,43.0,460000,Yamazaki,일본,,,,Yamazaki,,photos/10402923_1.webp,Single Malt
10402924,야마자키 18년,Yamazaki 18yo,700,43.0,1450000,Yamazaki,일본,,,,Yamazaki,,photos/10402924_1.webp,Single Malt
10402925,야마자키 18년 리미티드 에디션,Yamazaki 18yo Limited Edition,700,43.0,1700000,Yamazaki,일본,,,,Yamazaki,,photos/10402925_1.webp,Single Malt
10402926,야마자키 18년 미즈나라 100주년 기념 에디션,Yamazaki 18yo Mizunara 100th Anniversary Edition,700,48.0,3500000,Yamazaki,일본,,,,Yamazaki,,photos/10402926_1.webp,Single Malt
10402927,야마자키 18년 미즈나라 캐스크,Yamazaki 18yo Mizunara Cask,700,48.0,2750000,Yamazaki,일본,,,,Yamazaki,,photos/10402927_1.webp,Single Malt
10402928,야마자키 25년,Yamazaki 25yo,700,43.0,10800000,Yamazaki,일본,,,,Yamazaki,,photos/10402928_1.webp,Single Malt
10402929,야마자키 DR,Yamazaki DR (Distiller's Reserve),700,43.0,205000,Yamazaki,일본,,,,Yamazaki,,photos/10402929_1.webp,Single Malt
10402930,야마자키 DR 100주년 기념 에디션,Yamazaki DR 100th Anniversary Edition,700,43.0,289000,Yamazaki,일본,,,,Yamazaki,,photos/10402930_1.webp,Single Malt
10402931,야마자키 골든 프로미스,Yamazaki Golden Promise,700,48.0,780000,Yamazaki,일본,,,,Yamazaki,,photos/10402931_1.webp,Single Malt
10402932,야마자키 아일라 피티드,Yamazaki Islay Peated,700,48.0,780000,Yamazaki,일본,,,,Yamazaki,,photos/10402932_1.webp,Single Malt
64200005,론 자카파 XO,Ran Zacapa XO,750,40.0,174800,Zacapa,과테말라,,,,Zacapa,,photos/64200005_1.webp,Other
60600116,123 데킬라 레포사도,123 Organic Tequila Reposado,750,40.0,170000,123,멕시코,,,,,,photos/60600116_1.webp,Other
60600117,123 오가닉 우노 블랑코,123 Organic Uno Blanco,750,40.0,145000,123,멕시코,,,,,,photos/60600117_1.webp,Other
61000395,앱솔루트 시트론,Absolut Citron,700,40.0,31000,Absolut,스웨덴,,,,,,photos/61000395_1.webp,Other
61000396,앱솔루트 엘릭스,Absolut Elyx,700,40.0,50000,Absolut,스웨덴,,,,,,photos/61000396_1.webp,Other
61000397,앱솔루트 엑스트랙,Absolut Extrakt,700,35.0,32900,Absolut,스웨덴,,,,,,photos/61000397_1.webp,Other
61000398,앱솔루트 그레이프,Absolut Grape,750,40.0,37000,Absolut,스웨덴,,,,,,photos/61000398_1.webp,Other
63800003,푸써스 럼 오리지널,Pusser's Rum Original,700,40.0,60000,,가이아나,,,,,,photos/63800003_1.webp,Other
61000399,앱솔루트 자몽,Absolut Grapefruit,700,40.0,32900,Absolut,스웨덴,,,,,,photos/61000399_1.webp,Other
61000400,앱솔루트 주스,Absolut Juice,500,35.0,25000,Absolut,스웨덴,,,,,,photos/61000400_1.webp,Other
61000401,앱솔루트 커런트,Absolut Kurant,750,40.0,37000,Absolut,스웨덴,,,,,,photos/61000401_1.webp,Other
61000402,앱솔루트 라임,Absolut Lime,700,40.0,28900,Absolut,스웨덴,,,,,,photos/61000402_1.webp,Other
61000403,앱솔루트 만다린,Absolut Mandrin,700,40.0,34000,Absolut,스웨덴,,,,,,photos/61000403_1.webp,Other
61000404,앱솔루트 망고,Absolut Mango,700,40.0,35000,Absolut,스웨덴,,,,,,photos/61000404_1.webp,Other
61000405,앱솔루트 패션프루트,Absolut Passionfruit,700,38.0,37000,Absolut,스웨덴,,,,,,photos/61000405_1.webp,Other
61000406,앱솔루트 피치,Absolut Peach,700,38.0,32500,Absolut,스웨덴,,,,,,photos/61000406_1.webp,Other
61000407,앱솔루트 페어,Absolut Pears,700,40.0,32000,Absolut,스웨덴,,,,,,photos/61000407_1.webp,Other
61000408,앱솔루트 레인보우 에디션,Absolut Rainbow Edition,700,40.0,35000,Absolut,스웨덴,,,,,,photos/61000408_1.webp,Other
61000409,앱솔루트 라즈베리,Absolut Raspberri,750,38.0,30900,Absolut,스웨덴,,,,,,photos/61000409_1.webp,Other
61000410,앱솔루트 바닐라,Absolut Vanilia,700,40.0,31000,Absolut,스웨덴,,,,,,photos/61000410_1.webp,Other
61000411,앱솔루트 보드카 1L,Absolut Vodka 1L,1000,40.0,32000,Absolut,스웨덴,,,,,,photos/61000411_1.webp,Other
61000412,앱솔루트 보드카 500ml,Absolut Vodka 500ml,500,40.0,21500,Absolut,스웨덴,,,,,,photos/61000412_1.webp,Other
61000413,앱솔루트 워터멜론,Absolut Watermelon,700,38.0,31500,Absolut,스웨덴,,,,,,photos/61000413_1.webp,Other
62000625,바카디 151(구형),Bacardi 151 (Old Bottle),750,75.5,220000,Bacardi,푸에르토리코,,,,,,photos/62000625_1.webp,Other
62000626,바카디 8년,Bacardi 8yo,750,40.0,53000,Bacardi,푸에르토리코,,,,,,photos/62000626_1.webp,Other
62000627,바카디 빅 애플,Bacardi Big Apple,750,40.0,36000,Bacardi,푸에르토리코,,,,,,photos/62000627_1.webp,Other
62000628,바카디 블랙 럼,Bacardi Black Rum,750,40.0,40000,Bacardi,푸에르토리코,,,,,,photos/62000628_1.webp,Other
62000629,바카디 블랙 럼 1L,Bacardi Black Rum 1L,1000,40.0,35000,Bacardi,푸에르토리코,,,,,,photos/62000629_1.webp,Other
62000630,바카디 카르타 네그라,Bacardi Carta Negra,750,40.0,33000,Bacardi,푸에르토리코,,,,,,photos/62000630_1.webp,Other
62000631,바카디 카르타 오로,Bacardi Carta Oro,750,40.0,27800,Bacardi,푸에르토리코,,,,,,photos/62000631_1.webp,Other
62000632,바카디 카르타 오로 1L,Bacardi Carta Oro 1L,1000,40.0,35000,Bacardi,푸에르토리코,,,,,,photos/62000632_1.webp,Other
62000633,바카디 오로 골드 럼,Bacardi Oro gold Rum,750,40.0,27500,Bacardi,푸에르토리코,,,,,,photos/62000633_1.webp,Other
62000634,바카디 피치 레드,Bacardi Peach Red,750,35.0,35000,Bacardi,푸에르토리코,,,,,,photos/62000634_1.webp,Other
62000635,바카디 리제르바 오초,Bacardi Reserva Ocho,750,40.0,62000,Bacardi,푸에르토리코,,,,,,photos/62000635_1.webp,Other
62000636,바카디 카르타블랑카,Bacardi carta blanca,700,40.0,27000,Bacardi,푸에르토리코,,,,,,photos/62000636_1.webp,Other
62000637,바카디 카르타블랑카 1L,Bacardi carta blanca 1L,1000,40.0,30000,Bacardi,푸에르토리코,,,,,,photos/62000637_1.webp,Other
20101227,발렌타인 10년 500ml,Ballantine's 10yo 500ml,500,40.0,38000,Ballantine,스코틀랜드,,,,,,photos/20101227_1.webp,Blended
20101228,발렌타인 12년,Ballantine's 12yo,700,40.0,47800,Ballantine,스코틀랜드,,,,,,photos/20101228_1.webp,Blended
20101229,발렌타인 12년 1L,Ballantine's 12yo 1L,1000,40.0,66000,Ballantine,스코틀랜드,,,,,,photos/20101229_1.webp,Blended
20101230,발렌타인 12년 500ml,Ballantine's 12yo 500ml,500,40.0,46000,Ballantine,스코틀랜드,,,,,,photos/20101230_1.webp,Blended
20101231,발렌타인 17년,Ballantine's 17yo,700,40.0,115000,Ballantine,스코틀랜드,,,,,,photos/20101231_1.webp,Blended
20101233,발렌타인 17년 500ml,Ballantine's 17yo 500ml,500,40.0,90000,Ballantine,스코틀랜드,,,,,,photos/20101233_1.webp,Blended
20101234,발렌타인 17년 아티스트 에디션1,Ballantine's 17yo Artist Edition1,700,40.0,165000,Ballantine,스코틀랜드,,,,,,photos/20101234_1.webp,Blended
20101235,발렌타인 17년 아티스트 에디션2,Ballantine's 17yo Artist Edition2,700,40.0,183000,Ballantine,스코틀랜드,,,,,,photos/20101235_1.webp,Blended
20101236,발렌타인 17년 아티스트 에디션3,Ballantine's 17yo Artist Edition3,700,40.0,204000,Ballantine,스코틀랜드,,,,,,photos/20101236_1.webp,Blended
